Author,Year,Title,Publication,DOI,Authors,Published-print,Volume,Page
Pandey,2020,"Artificial Neural Network Optimized with a Genetic Algorithm for Seasonal Groundwater Table Depth Prediction in Uttar Pradesh, India",Sustainability,10.3390/su12218932,"Pandey, Kusum; Kumar, Shiv; Malik, Anurag; Kuriqi, Alban",,12,12
Kumar,2020,"Artificial Neural Network Optimized with a Genetic Algorithm for Seasonal Groundwater Table Depth Prediction in Uttar Pradesh, India",Sustainability,10.3390/su12218932,"Pandey, Kusum; Kumar, Shiv; Malik, Anurag; Kuriqi, Alban",,12,12
Farchi,2021,Using machine learning to correct model error in data assimilation and forecast applications,Q J R Meteorol Soc,10.1002/qj.4116,"Farchi, Alban; Laloyaux, Patrick; Bonavita, Massimo; Bocquet, Marc",2021,147,147
Al-Abadi,2021,"Modeling of Groundwater Potential Using Cloud Computing Platform: A Case Study from Nineveh Plain, Northern Iraq",Water,10.3390/w13233330,"Al-Ozeer, Ali ZA.; Al-Abadi, Alaa M.; Hussain, Tariq Abed; Fryar, Alan E.; Pradhan, Biswajeet; Alamri, Abdullah; Abdul Maulud, Khairul Nizam",,13,13
Winterle,2021,Interpretable vs,noninterpretable machine learning models for data-driven hydro-climatological process modeling (R) Expert Syst Appl,10.1016/j.jneuroling.2005.11.003,"Nanousi, Vicky; Masterson, Jackie; Druks, Judit; Atkinson, Martin",2006,19,19
Berganzo-Besga,2021,Hybrid MSRM-Based Deep Learning and Multitemporal Sentinel 2-Based Machine Learning Algorithm Detects Near 10k Archaeological Tumuli in North-Western Iberia,Remote Sens,10.3390/rs13204181,"Berganzo-Besga, Iban; Orengo, Hector A.; Lumbreras, Felipe; Carrero-Pazos, Miguel; Fonte, João; Vilas-Estévez, Benito",,13,13
Salem,2018,Comparison of CNNs for Remote Sensing Scene Classification,PROCEEDINGS OF 2018 13TH INTERNATIONAL CONFERENCE ON COMPUTER ENGINEERING AND SYSTEMS (ICCES),10.1109/icces.2018.8639467,"Shafaey, Mayar A.; Salem, Mohammed A.-M.; Ebeid, H. M.; Al-Berry, M. N.; Tolba, Mohamed F.",2018,,
Amin,2018,DeepSIC: a deep model For satellite image classification,Cluster Comput,10.1007/s10586-017-1010-5,"Amin, Muhammad; Tanveer, Tamleek Ali; Shah, Shakirullah; Abdullah, Muhammad; Shafi, Muhammad",2018,21,21
Zaki,TICS,Increase the Exploitation of Mars Satellite Images Via Deep Learning Techniques,PROCEEDINGS OF INTERNATIONAL CONFERENCE ON ROB,10.35940/ijrte.f9736.038620,,,8,8
Ghayour,2021,Performance Evaluation of Sentinel-2 and Landsat 8 OLI Data for Land Cover/Use Classification Using a Comparison between Machine Learning Algorithms,Remote Sens,10.3390/rs13071349,"Ghayour, Laleh; Neshat, Aminreza; Paryani, Sina; Shahabi, Himan; Shirzadi, Ataollah; Chen, Wei; Al-Ansari, Nadhir; Geertsema, Marten; Pourmehdi Amiri, Mehdi; Gholamnia, Mehdi; Dou, Jie; Ahmad, Anuar",,13,13
Svennevik,2021,Prediction of Cloud Fractional Cover Using Machine Learning,Big Data Cogn Comput,10.3390/bdcc5040062,"Svennevik, Hanna; Riegler, Michael A.; Hicks, Steven; Storelvmo, Trude; Hammer, Hugo L.",,5,5
Latif,2021,Predictive modelling of piezometric head and seepage discharge in earth dam using soft computational models,Environ Sci Pollut Res,10.1007/s11356-021-15029-4,"Parsaie, Abbas; Haghiabi, Amir Hamzeh; Latif, Sarmad Dashti; Tripathi, Ravi Prakash",2021,28,28
Chakrabarti,2021,Analysis of Earthquake Forecasting in India Using Supervised Machine Learning Classifiers,Sustainability,10.3390/su13020971,"Debnath, Papiya; Chittora, Pankaj; Chakrabarti, Tulika; Chakrabarti, Prasun; Leonowicz, Zbigniew; Jasinski, Michal; Gono, Radomir; Jasińska, Elżbieta",,13,13
Tavus,2021,Integration of an InSAR and ANN for Sinkhole Susceptibility Mapping: A Case Study from Kirikkale-Delice (Turkey),ISPRS Int J Geo-Inf,10.3390/ijgi10030119,"Nefeslioglu, Hakan A.; Tavus, Beste; Er, Melahat; Ertugrul, Gamze; Ozdemir, Aybuke; Kaya, Alperen; Kocaman, Sultan",,10,10
Er,2021,Integration of an InSAR and ANN for Sinkhole Susceptibility Mapping: A Case Study from Kirikkale-Delice (Turkey),ISPRS Int J Geo-Inf,10.3390/ijgi10030119,"Nefeslioglu, Hakan A.; Tavus, Beste; Er, Melahat; Ertugrul, Gamze; Ozdemir, Aybuke; Kaya, Alperen; Kocaman, Sultan",,10,10
Ertugrul,2021,Integration of an InSAR and ANN for Sinkhole Susceptibility Mapping: A Case Study from Kirikkale-Delice (Turkey),ISPRS Int J Geo-Inf,10.3390/ijgi10030119,"Nefeslioglu, Hakan A.; Tavus, Beste; Er, Melahat; Ertugrul, Gamze; Ozdemir, Aybuke; Kaya, Alperen; Kocaman, Sultan",,10,10
Ozdemir,2021,Integration of an InSAR and ANN for Sinkhole Susceptibility Mapping: A Case Study from Kirikkale-Delice (Turkey),ISPRS Int J Geo-Inf,10.3390/ijgi10030119,"Nefeslioglu, Hakan A.; Tavus, Beste; Er, Melahat; Ertugrul, Gamze; Ozdemir, Aybuke; Kaya, Alperen; Kocaman, Sultan",,10,10
Kaya,2021,Integration of an InSAR and ANN for Sinkhole Susceptibility Mapping: A Case Study from Kirikkale-Delice (Turkey),ISPRS Int J Geo-Inf,10.3390/ijgi10030119,"Nefeslioglu, Hakan A.; Tavus, Beste; Er, Melahat; Ertugrul, Gamze; Ozdemir, Aybuke; Kaya, Alperen; Kocaman, Sultan",,10,10
Bhandari,2021,Automatic Detection of Impervious Surfaces from Remotely Sensed Data Using Deep Learning,Remote Sens,10.3390/rs13163166,"Parekh, Jash R.; Poortinga, Ate; Bhandari, Biplov; Mayer, Timothy; Saah, David; Chishtie, Farrukh",,13,13
Thi,2022,Deep Learning-Based Water Crystal Classification,Appl Sci -Basel,10.3390/app12020825,"Thi, Hien Doan; Andres, Frederic; Quoc, Long Tran; Emoto, Hiro; Hayashi, Michiko; Katsumata, Ken; Oshide, Takayuki",,12,12
Andres,2022,Deep Learning-Based Water Crystal Classification,Appl Sci -Basel,10.3390/app12020825,"Thi, Hien Doan; Andres, Frederic; Quoc, Long Tran; Emoto, Hiro; Hayashi, Michiko; Katsumata, Ken; Oshide, Takayuki",,12,12
Quoc,2022,Deep Learning-Based Water Crystal Classification,Appl Sci -Basel,10.3390/app12020825,"Thi, Hien Doan; Andres, Frederic; Quoc, Long Tran; Emoto, Hiro; Hayashi, Michiko; Katsumata, Ken; Oshide, Takayuki",,12,12
Emoto,2022,Deep Learning-Based Water Crystal Classification,Appl Sci -Basel,10.3390/app12020825,"Thi, Hien Doan; Andres, Frederic; Quoc, Long Tran; Emoto, Hiro; Hayashi, Michiko; Katsumata, Ken; Oshide, Takayuki",,12,12
Hayashi,2022,Deep Learning-Based Water Crystal Classification,Appl Sci -Basel,10.3390/app12020825,"Thi, Hien Doan; Andres, Frederic; Quoc, Long Tran; Emoto, Hiro; Hayashi, Michiko; Katsumata, Ken; Oshide, Takayuki",,12,12
Katsumata,2022,Deep Learning-Based Water Crystal Classification,Appl Sci -Basel,10.3390/app12020825,"Thi, Hien Doan; Andres, Frederic; Quoc, Long Tran; Emoto, Hiro; Hayashi, Michiko; Katsumata, Ken; Oshide, Takayuki",,12,12
Timilsina,2020,Mapping Urban Tree Cover Changes Using Object-Based Convolution Neural Network (OB-CNN),Remote Sens,10.3390/rs12183017,"Timilsina, Shirisa; Aryal, Jagannath; Kirkpatrick, Jamie B.",,12,12
Karray,2018,PREDICAT: A semantic service-oriented platform for data interoperability and linking in earth observation and disaster prediction,2018 IEEE 11TH CONFERENCE ON SERVICE-ORIENTED COMPUTING AND APPLICATIONS (SOCA),10.1109/soca.2018.00035,"Masmoudi, Maroua; Taktak, Hela; Ben Abdallah Ben Lamine, Sana; Boukadi, khouloud; Karray, Mohamed Hedi; Baazaoui Zghal, Hajer; Archimede, Bernard; Mrissa, Michael; Guegan, Chirine Ghedira",2018,,
Archimede,2018,PREDICAT: A semantic service-oriented platform for data interoperability and linking in earth observation and disaster prediction,2018 IEEE 11TH CONFERENCE ON SERVICE-ORIENTED COMPUTING AND APPLICATIONS (SOCA),10.1109/soca.2018.00035,"Masmoudi, Maroua; Taktak, Hela; Ben Abdallah Ben Lamine, Sana; Boukadi, khouloud; Karray, Mohamed Hedi; Baazaoui Zghal, Hajer; Archimede, Bernard; Mrissa, Michael; Guegan, Chirine Ghedira",2018,,
Vakalopoulou,2019,A Novel Object-Based Deep Learning Framework for Semantic Segmentation of Very High-Resolution Remote Sensing Data: Comparison with Convolutional and Fully Convolutional Networks,Remote Sens,10.3390/rs11060684,"Papadomanolaki, Maria; Vakalopoulou, Maria; Karantzalos, Konstantinos",,11,11
Roesch,2020,Geospatial Data Management Research: Progress and Future Directions,ISPRS Int Geo-Inf,10.3390/ijgi9020095,"Breunig, Martin; Bradley, Patrick Erik; Jahn, Markus; Kuper, Paul; Mazroob, Nima; Rösch, Norbert; Al-Doori, Mulhim; Stefanakis, Emmanuel; Jadidi, Mojgan",,9,9
Armaghani,2020,Seepage Analysis in Short Embankments Using Developing a Metaheuristic Method Based on Governing Equations,Appl Sci -Basel,10.3390/app10051761,"Tang, Dongchun; Gordan, Behrouz; Koopialipoor, Mohammadreza; Jahed Armaghani, Danial; Tarinejad, Reza; Thai Pham, Binh; Huynh, Van Van",,10,10
Cao,2020,Enabling the Big Earth Observation Data via Cloud Computing and DGGS: Opportunities and Challenges,Remote Sens,10.3390/rs12010062,"Yao, Xiaochuang; Li, Guoqing; Xia, Junshi; Ben, Jin; Cao, Qianqian; Zhao, Long; Ma, Yue; Zhang, Lianchong; Zhu, Dehai",,12,12
Dalila,2022,Missing data imputation of MAGDAS-9 ' s ground electromagnetism with supervised machine learning and conventional statistical analysis models,Alex Eng J,10.1016/j.aej.2021.04.096,"H., Muhammad Asraf; K.A., Nur Dalila; Md Tahir, Nooritawati; Iffah Abd Latiff, Zatul; Huzaimy Jusoh, Mohamad; Akimasa, Yoshikawa",2022,61,61
Jamel,2021,STABILITY AND SEEPAGE OF EARTH DAMS WITH TOE FILTER (CALIBRATED WITH ARTIFICIAL NEURAL NETWORK),J Eng Sci Technol,10.4203/ccp.78.57,"Veiga Carvalho, J.; Gutiérrez, J.L.C.; Romanel, C.",,,
Iizuka,2020,Geochemical Discrimination of Monazite Source Rock Based on Machine Learning Techniques and Multinomial Logistic Regression Analysis,Geosciences,10.3390/geosciences10020063,"Itano, Keita; Ueki, Kenta; Iizuka, Tsuyoshi; Kuwatani, Tatsu",,10,10
Astola,2021,Deep Neural Networks with Transfer Learning for Forest Variable Estimation Using Sentinel-2 Imagery in Boreal Forest,Remote Sens,10.3390/rs13122392,"Astola, Heikki; Seitsonen, Lauri; Halme, Eelis; Molinier, Matthieu; Lönnqvist, Anne",,13,13
Huang,2021,Prediction of marine heat flow based on the random forest method and geological and geophysical features,Mar Geophys Res,10.1007/s11001-021-09452-y,"Li, Min; Huang, Song; Dong, Miao; Xu, Ya; Hao, Tianyao; Wu, Xueshan; Deng, Yufeng",2021,42,42
Wu,2021,Prediction of marine heat flow based on the random forest method and geological and geophysical features,Mar Geophys Res,10.1007/s11001-021-09452-y,"Li, Min; Huang, Song; Dong, Miao; Xu, Ya; Hao, Tianyao; Wu, Xueshan; Deng, Yufeng",2021,42,42
Shirazy,2021,"Investigation of Magneto-/Radio-Metric Behavior in Order to Identify an Estimator Model Using K-Means Clustering and Artificial Neural Network (ANN) (Iron Ore Deposit, Yazd, IRAN)",Minerals,10.3390/min11121304,"Shirazy, Adel; Hezarkhani, Ardeshir; Timkin, Timofey; Shirazi, Aref",,11,11
Ghorbani,2018,Presenting a new method to improve the detection of micro-seismic events,Environ Monit Assess,10.1007/s10661-018-6837-6,"Ghorbani, Saeed; Barari, Morteza; Hoseini, Mojtaba",2018,190,190
Saidani,form,Analysis of positive correlation in magnitude and time measurement for earthquake using electric signals,Earth Sci I,10.1007/s12145-021-00754-8,"Saidani, Oumaima; Manoharan, Ramkumar Raja; Naje, Ahmed Samir; Mishra, Ruby; Subburaj, Arjun; S, Maheswari; Sikkandar, Mohamed Yacin; Sundaram, Sankar Ganesh; Rajan, Regin; Sengan, Sudhakar",,,
Koprivec,2020,FASTENER Feature Selection for Inference from Earth Observation Data,Entropy,10.3390/e22111198,"Koprivec, Filip; Kenda, Klemen; Šircelj, Beno",,22,22
Ma,2019,Performance optimization and evaluation for parallel processing of big data in earth system models,Cluster Comput,10.1007/s10586-017-1477-0,"Wang, Yuzhu; Hao, Huiqun; Zhang, Junqiang; Jiang, Jinrong; He, Juanxiong; Ma, Yan",2019,22,22
Haensch,2021,Global Land-Cover Mapping With Weak Supervision: Outcome of the 2020 IEEE GRSS Data Fusion Contest,IEEE J Sel Top Appl Earth Observ Remote Sens,10.1109/jstars.2021.3063849,"Robinson, Caleb; Malkin, Kolya; Jojic, Nebojsa; Chen, Huijun; Qin, Rongjun; Xiao, Changlin; Schmitt, Michael; Ghamisi, Pedram; Hansch, Ronny; Yokoya, Naoto",2021,14,14
Song,2020,Rainfall Monitoring Based on Machine Learning by Earth-Space Link in the Ku Band,IEEE J Sel Top Appl Earth Observ Remote Sens,10.1109/jstars.2020.3004375,"Xian, Minghao; Liu, Xichuan; Yin, Min; Song, Kun; Zhao, Shijun; Gao, Taichang",2020,13,13
Gao,2020,Rainfall Monitoring Based on Machine Learning by Earth-Space Link in the Ku Band,IEEE J Sel Top Appl Earth Observ Remote Sens,10.1109/jstars.2020.3004375,"Xian, Minghao; Liu, Xichuan; Yin, Min; Song, Kun; Zhao, Shijun; Gao, Taichang",2020,13,13
Khan,2021,Hantavirus: The Next Pandemic We Are Waiting For?,Interdiscip Sci,10.1007/s12539-020-00413-4,"Khan, Abbas; Khan, Mazhar; Ullah, Saeed; Wei, Dong-Qing",2021,13,13
Jurado,2021,"Review of Recent Drilling Projects in Unconventional Geothermal Resources at Campi Flegrei Caldera, Cornubian Batholith, and Williston Sedimentary Basin",Energies,10.3390/en14113306,"Somma, Renato; Blessent, Daniela; Raymond, Jasmin; Constance, Madeline; Cotton, Lucy; Natale, Giuseppe De; Fedele, Alessandro; Jurado, Maria Jose; Marcia, Kirsten; Miranda, Mafalda; Troise, Claudia; Wiersberg, Thomas",,14,14
Yousaf,2020,Glacial Lakes Mapping Using Multi Satellite PlanetScope Imagery and Deep Learning,ISPRS Int J Geo-Inf,10.3390/ijgi9100560,"Qayyum, Nida; Ghuffar, Sajid; Ahmad, Hafiz; Yousaf, Adeel; Shahid, Imran",,9,9
Wang,2018,ENVISIONED WIRELESS BIG DATA STORAGE FOR LOW-EARTH-ORBIT SATELLITE-BASED CLOUD,IEEE Wirel Commun,10.1109/mwc.2018.1700178,"Huang, Huawei; Guo, Song; Wang, Kun",2018,25,25
Budavari,2020,Deep Learning for Land Cover Classification Using Only a Few Bands,Remote Sens,10.3390/rs12122000,"Kwan, Chiman; Ayhan, Bulent; Budavari, Bence; Lu, Yan; Perez, Daniel; Li, Jiang; Bernabe, Sergio; Plaza, Antonio",,12,12
Thepaut,2020,Artificial Neural Networks to Retrieve Land and Sea Skin Temperature from IASI,Remote Sens,10.3390/rs12172777,"Safieddine, Sarah; Parracho, Ana Claudia; George, Maya; Aires, Filipe; Pellet, Victor; Clarisse, Lieven; Whitburn, Simon; Lezeaux, Olivier; Thépaut, Jean-Noël; Hersbach, Hans; Radnoti, Gabor; Goettsche, Frank; Martin, Maria; Doutriaux-Boucher, Marie; Coppens, Dorothée; August, Thomas; Zhou, Daniel K.; Clerbaux, Cathy",,12,12
Cheng,2020,Big Earth Observation Data Integration in Remote Sensing Based on a Distributed Spatial Framework,Remote Sens,10.3390/rs12060972,"Cheng, Yinyi; Zhou, Kefa; Wang, Jinlin; Yan, Jining",,12,12
Wen,2022,Upscaling in Situ Site-Based Albedo Using Machine Learning Models: Main Controlling Factors on Results,IEEE Trans Geosci Remote Sensing,10.1109/tgrs.2021.3095153,"Wang, Jingping; Wu, Xiaodan; Wen, Jianguang; Xiao, Qing; Gong, Baochang; Ma, Dujuan; Cui, Yurong; Lin, Xingwen; Bao, Yunfei",2022,60,60
Iapaolo,2020,Predicting WNV Circulation in Italy Using Earth Observation Data and Extreme Gradient Boosting Model,Remote Sens,10.3390/rs12183064,"Candeloro, Luca; Ippoliti, Carla; Iapaolo, Federica; Monaco, Federica; Morelli, Daniela; Cuccu, Roberto; Fronte, Pietro; Calderara, Simone; Vincenzi, Stefano; Porrello, Angelo; D’Alterio, Nicola; Calistri, Paolo; Conte, Annamaria",,12,12
Vincenzi,2020,Predicting WNV Circulation in Italy Using Earth Observation Data and Extreme Gradient Boosting Model,Remote Sens,10.3390/rs12183064,"Candeloro, Luca; Ippoliti, Carla; Iapaolo, Federica; Monaco, Federica; Morelli, Daniela; Cuccu, Roberto; Fronte, Pietro; Calderara, Simone; Vincenzi, Stefano; Porrello, Angelo; D’Alterio, Nicola; Calistri, Paolo; Conte, Annamaria",,12,12
Rezaei,2019,Assessment of Landslide Susceptibility Using Statistical- and Artificial Intelligence-Based FR-RF Integrated Model and Multiresolution DEMs,Remote Sens,10.3390/rs11090999,Arabameri; Pradhan; Rezaei; Lee,,11,11
Marujo,2020,"Earth Observation Data Cubes for Brazil: Requirements, Methodology and Products",Remote Sens,10.3390/rs12244033,"Ferreira, Karine R.; Queiroz, Gilberto R.; Vinhas, Lubia; Marujo, Rennan F. B.; Simoes, Rolf E. O.; Picoli, Michelle C. A.; Camara, Gilberto; Cartaxo, Ricardo; Gomes, Vitor C. F.; Santos, Lorena A.; Sanchez, Alber H.; Arcanjo, Jeferson S.; Fronza, José Guilherme; Noronha, Carlos Alberto; Costa, Raphael W.; Zaglia, Matheus C.; Zioti, Fabiana; Korting, Thales S.; Soares, Anderson R.; Chaves, Michel E. D.; Fonseca, Leila M. G.",,12,12
Zhou,2022,Automatic Framework of Mapping Impervious Surface Growth With Long-Term Landsat Imagery Based on Temporal Deep Learning Model,IEEE Geosci Remote Sens Lett,10.1109/lgrs.2021.3135869,"Yin, Ranyu; He, Guojin; Wang, Guizhou; Long, Tengfei; Li, Hongfeng; Zhou, Dengji; Gong, Chengjuan",2022,19,19
Cheminant,2021,CNN-Based Classifier as an Offline Trigger for the CREDO Experiment,Sensors,10.3390/s21144804,"Piekarczyk, Marcin; Bar, Olaf; Bibrzycki, Łukasz; Niedźwiecki, Michał; Rzecki, Krzysztof; Stuglik, Sławomir; Andersen, Thomas; Budnev, Nikolay M.; Alvarez-Castillo, David E.; Cheminant, Kévin Almeida; Góra, Dariusz; Gupta, Alok C.; Hnatyk, Bohdan; Homola, Piotr; Kamiński, Robert; Kasztelan, Marcin; Knap, Marek; Kovács, Péter; Łozowski, Bartosz; Miszczyk, Justyna; Mozgova, Alona; Nazari, Vahab; Pawlik, Maciej; Rosas, Matías; Sushchov, Oleksandr; Smelcerz, Katarzyna; Smolek, Karel; Stasielak, Jarosław; Wibig, Tadeusz; Woźniak, Krzysztof W.; Zamora-Saa, Jilberto",,21,21
Arkle,2018,Estimating vegetation biomass and cover across large plots in shrub and grass dominated drylands using terrestrial lidar and machine learning,Ecol Indic,10.1016/j.ecolind.2017.09.034,"Anderson, Kyle E.; Glenn, Nancy F.; Spaete, Lucas P.; Shinneman, Douglas J.; Pilliod, David S.; Arkle, Robert S.; McIlroy, Susan K.; Derryberry, DeWayne R.",2018,84,84
Lee,2019,CloudSegNet: A Deep Network for Nychthemeron Cloud Image Segmentation,IEEE Geosci Remote Sens Lett,10.1109/lgrs.2019.2912140,"Dev, Soumyabrata; Nautiyal, Atul; Lee, Yee Hui; Winkler, Stefan",2019,16,16
Maciel,2018,Big earth observation time series analysis for monitoring Brazilian agriculture,ISPRS-J Photogramm Remote Sens,10.1016/j.isprsjprs.2018.08.007,"Picoli, Michelle Cristina Araujo; Camara, Gilberto; Sanches, Ieda; Simões, Rolf; Carvalho, Alexandre; Maciel, Adeline; Coutinho, Alexandre; Esquerdo, Julio; Antunes, João; Begotti, Rodrigo Anzolin; Arvor, Damien; Almeida, Claudio",2018,145,145
Duc Anh Nguyen,2020,"Novel Ensemble Landslide Predictive Models Based on the Hyperpipes Algorithm: A Case Study in the Nam Dam Commune, Vietnam",Appl Sci -Basel,10.3390/app10113710,"Tran, Quoc Cuong; Minh, Duc Do; Jaafari, Abolfazl; Al-Ansari, Nadhir; Minh, Duc Dao; Van, Duc Tung; Nguyen, Duc Anh; Tran, Trung Hieu; Ho, Lanh Si; Nguyen, Duy Huu; Prakash, Indra; Le, Hiep Van; Pham, Binh Thai",,10,10
Trung Hieu Tran,2020,"Novel Ensemble Landslide Predictive Models Based on the Hyperpipes Algorithm: A Case Study in the Nam Dam Commune, Vietnam",Appl Sci -Basel,10.3390/app10113710,"Tran, Quoc Cuong; Minh, Duc Do; Jaafari, Abolfazl; Al-Ansari, Nadhir; Minh, Duc Dao; Van, Duc Tung; Nguyen, Duc Anh; Tran, Trung Hieu; Ho, Lanh Si; Nguyen, Duy Huu; Prakash, Indra; Le, Hiep Van; Pham, Binh Thai",,10,10
Gargouri,TING,Towards Knowledge-Driven Automatic Service Composition for Wildfire Prediction,SERVICE-ORIENTED COMP,10.1007/978-3-030-76352-7_38,"Taktak, Hela; Boukadi, Khouloud; Guégan, Chirine Ghedira; Mrissa, Michael; Gargouri, Faïez",2021,,
Geng,2019,Hyperspectral Image Classification Based on Two-Phase Relation Learning Network,IEEE Trans Geosci Remote Sensing,10.1109/tgrs.2019.2934218,"Ma, Xiaorui; Ji, Sheng; Wang, Jie; Geng, Jie; Wang, Hongyu",2019,57,57
de Souza,2020,Evaluation of machine learning methods for lithology classification using geophysical data,Comput Geosci,10.1016/j.cageo.2020.104475,"Bressan, Thiago Santi; Kehl de Souza, Marcelo; Girelli, Tiago J.; Junior, Farid Chemale",2020,139,139
Marti,2021,Machine Learning for Mineral Identification and Ore Estimation from Hyperspectral Imagery in Tin-Tungsten Deposits: Simulation under Indoor Conditions,Remote Sens,10.3390/rs13163258,"Lobo, Agustin; Garcia, Emma; Barroso, Gisela; Martí, David; Fernandez-Turiel, Jose-Luis; Ibáñez-Insa, Jordi",,13,13
Karadayi,DATA,Unsupervised Anomaly Detection in Multivariate Spatio-Temporal Datasets Using Deep Learning,ADVANCED ANALYTICS AND LEARNING ON TEMPORAL,10.1007/978-3-030-39098-3_13,"Karadayi, Yildiz",2020,,
